,Unnamed: 0,sorted_annotations,mappings,labels
0,0,7030 sleeping;MET 0.95,5,Rest & Sedentary
1,1,carrying heavy loads;MET 8.0,4,High-Intensity and Transport
2,2,home activity;child/elderly/pet care;MET 2.3,7,Household & Light Manual
3,3,home activity;child/elderly/pet care;child care;5181 walking and carrying child;MET 3.0,0,Light Home & Leisure
4,4,home activity;child/elderly/pet care;child care;5183 standing holding child;MET 2.0,7,Household & Light Manual
5,5,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling  occasional lifting;MET 2.0,4,High-Intensity and Transport
6,6,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling occasional lifting;MET 2.0,7,Household & Light Manual
7,7,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling;MET 2.0,2,Light Sedentary and Care
8,8,home activity;child/elderly/pet care;child care;5186 child care standing occasional lifting;MET 3.0,7,Household & Light Manual
9,9,home activity;child/elderly/pet care;pet care;MET 2.5,7,Household & Light Manual
10,10,home activity;eating;13030 eating sitting alone or with someone;MET 1.5,5,Rest & Sedentary
11,11,home activity;eating;13035 eating standing alone or with others;MET 2.0,7,Household & Light Manual
12,12,home activity;household chores;grocery shopping;5060 shopping;MET 2.3,0,Light Home & Leisure
13,13,home activity;household chores;house cleaning;MET 2.5,7,Household & Light Manual
14,14,home activity;household chores;house cleaning;floors;5010 cleaning sweeping carpet or floors;MET 3.3,7,Household & Light Manual
15,15,home activity;household chores;house cleaning;floors;5131 scrubbing floors on hands and knees scrubbing bathroom bathtub;MET 2.0,7,Household & Light Manual
16,16,home activity;household chores;house cleaning;floors;5140 sweeping garage sidewalk or outside of house;MET 4.0,0,Light Home & Leisure
17,17,home activity;household chores;house cleaning;furniture;5020 cleaning heavy such as car/windows/garage;MET 3.5,7,Household & Light Manual
18,18,home activity;household chores;house cleaning;furniture;5032 dusting or polishing furniture;MET 2.3,7,Household & Light Manual
19,19,home activity;household chores;house cleaning;miscellaneous;5100 making bed/changing linens;MET 3.3,7,Household & Light Manual
20,20,home activity;household chores;preparing meals/cooking/washing dishes;5035 cleaning up table after meal implied walking (e.g. leaving from eating table to the kitchen);MET 3.3,7,Household & Light Manual
21,21,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up;MET 3.3,7,Household & Light Manual
22,22,home activity;household chores;preparing meals/cooking/washing dishes;5051 serving food/setting table implied walking and standing;MET 2.5,7,Household & Light Manual
23,23,home activity;household chores;washing/ironing/mending clothes;5070 ironing;MET 1.8,7,Household & Light Manual
24,24,home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking;MET 2.0,7,Household & Light Manual
25,25,home activity;household chores;washing/ironing/mending clothes;5095 putting away /gathering clothes involving walking;MET 2.3,7,Household & Light Manual
26,26,home activity;leisure;activities for maintenance of a household;miscellaneous;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5,Rest & Sedentary
27,27,home activity;leisure;activities for maintenance of a household;miscellaneous;9101 retreat/family reunion activities playing games with more than one person;MET 3.0,2,Light Sedentary and Care
28,28,home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren);MET 2.2,2,Light Sedentary and Care
29,29,home activity;leisure;activties for maintenance of a household;5170 sitting playing with child(ren);MET 2.2,2,Light Sedentary and Care
30,30,home activity;leisure;activties for maintenance of a household;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5,Rest & Sedentary
31,31,home activity;leisure;activties for maintenance of a household;miscellaneous;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5,Rest & Sedentary
32,32,home activity;leisure;activties for maintenance of a household;with children;5170 sitting playing with child(ren);MET 2.2,5,Rest & Sedentary
33,33,home activity;leisure;mixed-activity;walking+activity;MET 3.0,0,Light Home & Leisure
34,34,home activity;leisure;sitting;sitstand+activity;MET 2.5,7,Household & Light Manual
35,35,home activity;miscellaneous;5025 (generic) multiple household tasks all at once including standing/lifting/sitting;MET 2.8,7,Household & Light Manual
36,36,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time);MET 1.5,2,Light Sedentary and Care
37,37,home activity;miscellaneous;sitting;11580 office/computer work general;MET 1.5,2,Light Sedentary and Care
38,38,home activity;miscellaneous;sitting;21010 sitting non-desk work (with or without eating at the same time);MET 2.5,2,Light Sedentary and Care
