,bicycling,household-chores,manual-work,mixed-activity,sitting,sleep,sports,standing,vehicle,walking
bicycling,1387,80,0,0,1627,30,5,0,397,61
household-chores,31,6712,0,2,15544,280,26,13,353,2821
manual-work,90,922,4,2,2165,29,9,5,164,621
mixed-activity,84,1186,1,281,6359,304,18,27,236,6949
sitting,13,2071,1,3,100202,27691,12,10,409,1467
sleep,1,149,0,0,8145,127434,1,1,44,258
sports,34,137,0,2,1064,38,285,1,191,354
standing,13,859,1,5,8861,926,4,31,185,1067
vehicle,10,374,0,1,5623,461,2,4,6998,423
walking,72,3240,0,148,9305,323,17,23,329,10563
