,High-Intensity and Transport,Hiking & Walking,Household & Light Manual,Light Home & Leisure,Light Sedentary and Care,Light to Moderate Exercise,Moderate Exercise,Moderate to High-Intensity,Rest & Sedentary,Walking Activities Across Contexts
High-Intensity and Transport,47.412054671745466,0.0,7.730226305175892,0.05228172380312197,5.370079916349242,0.007468817686160281,0.0,0.1120322652924042,37.87437448651879,1.4414818134289342
Hiking & Walking,0.2976190476190476,26.636904761904763,8.779761904761903,0.0,0.4464285714285714,0.0,0.0,0.0,6.845238095238096,56.99404761904761
Household & Light Manual,0.7217131190351835,0.033236788376620294,43.14847348179099,0.277764588576041,5.638383742462371,0.00474811262523147,0.002374056312615735,0.2136650681354162,45.6246142158492,4.335026826836333
Light Home & Leisure,0.5687389684251815,0.058835065699156704,37.60214421128325,1.4185788063018894,3.8765771066222134,0.006537229522128521,0.0,0.1242073609204419,45.64293652350134,10.701444727724391
Light Sedentary and Care,0.1290248587894601,0.0028672190842102246,3.7402872953522377,0.011468876336840898,34.61163517504372,0.0,0.0,0.0071680477105255614,61.13914614215672,0.35840238552627807
Light to Moderate Exercise,23.46041055718475,0.0,10.557184750733137,0.0,4.69208211143695,31.964809384164223,0.0,3.519061583577713,24.633431085043988,1.1730205278592376
Moderate Exercise,4.081632653061225,0.0,12.244897959183673,0.0,0.0,0.0,10.204081632653061,0.0,71.42857142857143,2.0408163265306123
Moderate to High-Intensity,9.873893211698418,0.0,9.068956265092568,0.026831231553528307,5.258921384491548,0.0,0.0,42.366514623021196,32.46579017976925,0.9390931043734908
Rest & Sedentary,0.06849579377942425,0.0,2.303291657019372,0.028941884695531373,4.059581693293201,0.0,0.0,0.006270741684031798,93.30815389364821,0.22526433588021919
Walking Activities Across Contexts,0.6418245264207377,0.1059322033898305,16.59396809571286,0.897308075772682,1.4332003988035893,0.0,0.0,0.5919740777666999,17.815304087736788,61.92048853439681
