,High-Intensity and Transport,Hiking & Walking,Household & Light Manual,Light Home & Leisure,Light Sedentary and Care,Light to Moderate Exercise,Moderate Exercise,Moderate to High-Intensity,Rest & Sedentary,Walking Activities Across Contexts
High-Intensity and Transport,1.721673614294122,0.0,0.2807076545044764,0.0018985058758756858,0.19500367496494544,0.00027121512512509794,0.0,0.00406822687687647,1.3753318995093717,0.05234451914914391
Hiking & Walking,0.0005424302502501959,0.04854750739739254,0.01600169238238078,0.0,0.000813645375375294,0.0,0.0,0.0,0.012475895755754507,0.10387539292291252
Household & Light Manual,0.08244939803802978,0.0037970117517513715,4.929334899148656,0.031732169639636466,0.6441359221721077,0.0005424302502501959,0.00027121512512509794,0.024409361261258818,5.212212274654133,0.4952388184784289
Light Home & Leisure,0.023595715885883523,0.0024409361261258818,1.5600293997195636,0.05885368215214626,0.1608305691991831,0.00027121512512509794,0.0,0.005153087377376861,1.8936240036234342,0.4439791598297854
Light Sedentary and Care,0.024409361261258818,0.0005424302502501959,0.7076002614513806,0.0021697210010007835,6.54794676589524,0.0,0.0,0.00135607562562549,11.566511441210054,0.0678037812812745
Light to Moderate Exercise,0.02169721001000784,0.0,0.009763744504503527,0.0,0.004339442002001567,0.029562448638635677,0.0,0.003254581501501176,0.02278207051050823,0.0010848605005003918
Moderate Exercise,0.0005424302502501959,0.0,0.001627290750750588,0.0,0.0,0.0,0.00135607562562549,0.0,0.00949252937937843,0.00027121512512509794
Moderate to High-Intensity,0.09980716604603605,0.0,0.09167071229228312,0.00027121512512509794,0.05315816452451921,0.0,0.0,0.42824868257252974,0.32817030140136855,0.00949252937937843
Rest & Sedentary,0.038512547767763916,0.0,1.2950522224723429,0.01627290750750588,2.2825464930528243,0.0,0.0,0.0035257966266262733,52.46358258907383,0.12665746343342074
Walking Activities Across Contexts,0.02793515788788509,0.004610657127126666,0.7222458782081359,0.03905497801801411,0.062379478778772535,0.0,0.0,0.025765436886884308,0.7754040427326551,2.6950646983680984
