,bicycling,household-chores,manual-work,mixed-activity,sitting,sleep,sports,standing,vehicle,walking
bicycling,38.66741009199888,2.2302759966545858,0.0,0.0,45.35823808196264,0.8363534987454697,0.1393922497909116,0.0,11.067744633398382,1.7005854474491218
household-chores,0.12023892638274765,26.03366689938717,0.0,0.007757350089209526,60.29012489333644,1.0860290124893337,0.10084555115972384,0.05042277557986192,1.3691722907454813,10.941742300830036
manual-work,2.243829468960359,22.986786337571676,0.09972575417601597,0.04986287708800798,53.97656444776864,0.7230117177761157,0.22438294689603588,0.12465719272001993,4.088755921216655,15.482423335826478
mixed-activity,0.5438653285853027,7.678860472644869,0.006474587245063127,1.8193590158627388,41.17190029135643,1.9682745224991904,0.11654257041113629,0.17481385561670443,1.528002589834898,44.991906765943675
sitting,0.00985752090931839,1.5703789079383375,0.0007582708391783377,0.0022748125175350133,75.9802546273478,20.99727780768735,0.009099250070140053,0.007582708391783377,0.3101327732239401,1.1123833210746215
sleep,0.0007351157439738886,0.10953224585210941,0.0,0.0,5.987517734667323,93.67873971756853,0.0007351157439738886,0.0007351157439738886,0.0323450927348511,0.1896598619452633
sports,1.6144349477682813,6.505223171889838,0.0,0.0949667616334283,50.522317188983855,1.8043684710351375,13.532763532763534,0.04748338081671415,9.069325735992402,16.80911680911681
standing,0.10876840696117805,7.187081659973227,0.008366800535475234,0.04183400267737617,74.13821954484605,7.747657295850067,0.03346720214190094,0.25937081659973227,1.5478580990629183,8.927376171352075
vehicle,0.07196315486470926,2.6914219919401265,0.0,0.007196315486470928,40.46488198042602,3.317501439263097,0.014392630972941856,0.02878526194588371,50.35981577432354,3.0440414507772022
walking,0.2997502081598668,13.488759367194007,0.0,0.6161532056619483,38.73855120732723,1.344712739383847,0.07077435470441298,0.09575353871773522,1.3696919233971692,43.97585345545379
