,bicycling,household-chores,manual-work,mixed-activity,sitting,sleep,sports,standing,vehicle,walking
bicycling,0.3761753785485109,0.02169721001000784,0.0,0.0,0.44126700857853435,0.00813645375375294,0.00135607562562549,0.0,0.1076724046746639,0.016544122632630977
household-chores,0.008407668878878038,1.8203959198396575,0.0,0.0005424302502501959,4.2157679049445225,0.07594023503502743,0.007051593253252547,0.0035257966266262733,0.09573893916915958,0.7650978679779014
manual-work,0.024409361261258818,0.25006034536534033,0.0010848605005003918,0.0005424302502501959,0.5871807458958371,0.00786523862862784,0.0024409361261258818,0.00135607562562549,0.04447928052051607,0.16842459270268584
mixed-activity,0.02278207051050823,0.3216611383983662,0.00027121512512509794,0.07621145016015253,1.724656980670498,0.08244939803802978,0.0048818722522517635,0.007322808378377645,0.06400676952952312,1.8846739044943057
sitting,0.0035257966266262733,0.5616865241340779,0.00027121512512509794,0.000813645375375294,27.176297967785068,7.510218029839089,0.003254581501501176,0.00271215125125098,0.11092698617616507,0.39787258855851876
sleep,0.00027121512512509794,0.040411053643639595,0.0,0.0,2.2090471941439227,34.562028255191734,0.00027121512512509794,0.00027121512512509794,0.011933465505504311,0.06997350228227528
sports,0.009221314254253331,0.03715647214213842,0.0,0.0005424302502501959,0.28857289313310425,0.010306174754753723,0.07729631066065293,0.00027121512512509794,0.05180208889889371,0.09601015429428468
standing,0.0035257966266262733,0.23297379248245917,0.00027121512512509794,0.00135607562562549,2.4032372237334934,0.2511452058658407,0.0010848605005003918,0.008407668878878038,0.05017479814814313,0.28938653850847956
vehicle,0.00271215125125098,0.10143445679678664,0.0,0.00027121512512509794,1.5250426485784259,0.12503017268267017,0.0005424302502501959,0.0010848605005003918,1.8979634456254355,0.11472399792791645
walking,0.019527489009007054,0.8787370054053174,0.0,0.040139838518514506,2.5236567392890366,0.08760248541540665,0.004610657127126666,0.006237947877877253,0.08922977616615724,2.86484536669641
